Agency,Use Case ID,Use Case Name,Bureau/Component,Stage of Development (Raw),Stage of Development,Is the AI use case high-impact? (Raw),Is the AI use case high-impact?,Justification,Use Case Topic Area,AI Classification,What problem is the AI intended to solve?,What are the expected benefits and positive outcomes from the AI for an agency's mission and/or the general public?,Describe the AI system's outputs.,Date when AI use case became operational or the pilot's start date,Was the system involved in this use case purchased from a vendor or developed under contract(s) or in-house?,Vendor(s) Name,Does this AI use case have an associated Authorization to Operate (ATO)?,System(s) Name,"Describe any data used to train, fine-tune, and/or evaluate performance of the model(s) used in this use case.","If the data is required to be publicly disclosed as an open government data asset, provide a link to the entry on the Federal Data Catalog.",Does this AI use case involve personally identifiable information (PII) that is maintained by the agency?,"If publicly available, provide the link to the AI use case's associated Privacy Impact Assessment (PIA).","Which, if any, demographic variables does the AI use case explicitly use as model features?",Does this project include custom-developed code?,"If the code is open source, provide the link for the publicly available source code.",Has pre-deployment testing been conducted for this AI use case?,Has an AI impact assessment been completed for this AI use case?,What are the potential impacts of using the AI for this particular use case and how were they identified?,Has an independent review of the AI use case been conducted?,"Is there a process to conduct ongoing monitoring to identify any adverse impacts to the performance and security of the AI functionality, as well as to privacy, civil rights, and civil liberties?",Has the agency established sufficient and periodic training for operators of the AI to interpret and act on the its output and managed associated risks?,Does this AI use case have an appropriate fail-safe that minimizes the risk of significant harm?,Is there an established appeal process in the event that an impacted individual would like to appeal or contest the AI system's outcome?,What steps has the agency taken to consult and incorporate feedback from end users of this AI use case and the public?
Department Of Homeland Security,DHS-2296,OCFO Response Augmentation Suite,FEMA,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,Deployed,c) Not high-impact,Not high-impact,,Administrative Functions,Generative AI,"FEMA Office of the Chief Financial Officer Generative Pre-trained Transformer (OCFO GPT), Travel Policy GPT and Fiscal Policy GPT are internal Generative AI (GenAI) tools designed to support the FEMA workforce by generating initial responses to various queries. These tools leverage relevant public and internal documents to draft preliminary responses, which are then refined prior to formal submission. FEMA OCFO GPT generates initial responses to questions for the record, leveraging public and internal documents, and provides a preliminary response to the Program Office to use in their formal response to the request. It reduces the data gathering stage, saving analysts 80% of the initial effort. Travel Policy GPT generates initial responses to questions regarding FEMA/DHS Travel Policy, including the JTR, and provides a preliminary response to the travel specialist to use in their formal response to the queries. It improves response times, saving users 80-90% of the time compared to regular engagement with the Travel Service Center. Fiscal Policy GPT provides preliminary responses to questions regarding FEMA/DHS Fiscal Policy and will generate a draft response with references to assist FEMA internal workforce in compliance with established policy. It saves users 80-90% of the time compared to regular engagement with DHS /FEMA OCFO policy and speeds up resolution times.","FEMA OCFO GPT-B is an internal facing GenAI tool to augment the FEMA workforce in generating initial responses to questions for the record and providing a preliminary response to the Program Office to use in their formal response to the request. FEMA OCFO GPT provides draft responses reducing the data gathering stage and providing additional time for analysis, response, and approval. This has reduced the analyst initial level of effort versus individual research by 80% on initial surveys. Travel Policy GPT is an internal facing GenAI tool to augment the FEMA workforce in generating initial responses to questions regarding FEMA/DHS Travel Policy, and providing a preliminary response to the travel specialist to use in their formal response to the queries. The tools provide improved responses saving the end user time versus regular engagement with the Travel Service Center. The tool also allows travelers to ask specific questions that require Travel Service Center engagement, limiting the needed triage and speeding resolution times. Fiscal Policy GPT is an internal facing GenAI tool to augment the FEMA workforce in providing preliminary responses to questions regarding FEMA/DHS Fiscal Policy. The tool provides improved responses saving the end user time versus regular engagement with the DHS/FEMA OCFO Policy. The tool also allows internal users to ask specific questions that require Fiscal Policy engagement, limiting the needed triage and speeding resolution times.","FEMA OCFO GPT is an internal facing GenAI tool to augment the FEMA workforce in generating initial responses to questions for the record and providing a preliminary response to the Program Office to use in their formal response to the request. FEMA OCFO GPT leverages public facing and internal deliberative documents to assist in answering questions the Agency receives. The tool generates a draft response that is then refined/updated prior to providing a formal response. Travel Policy GPT is an internal facing GenAI tool to augment the FEMA workforce in generating initial responses to questions regarding FEMA/DHS Travel Policy and providing a preliminary response to the travel specialist to use in their formal response to the queries. The tool generates a draft response that is then refined/updated prior to providing a formal response. Fiscal Policy GPT is an internal facing GenAI tool to augment the FEMA workforce in providing preliminary responses to questions regarding FEMA/DHS Fiscal Policy. Fiscal Policy GPT will leverage the DHS FMPM and FEMA Fiscal Policy documents. The tool is planned to generate a draft response with references to assist FEMA internal workforce in compliance with established policy. These tools are leveraged in the data gathering stage and do not replace any current analysts work or leadership review, as required, prior to submittal via any formal request for information process.",2024-02-01 00:00:00,c) Developed with both contracting and in-house resources,Microsoft (OpenAI Azure Commercial Cloud offerings),Yes,"FEMA OCFO GPT is an internal facing GenAI tool to augment the FEMA workforce in generating initial responses to questions for the record and providing a preliminary response to the Program Office to use in their formal response to the request. FEMA OCFO GPT leverages public facing and internal deliberative documents to assist in answering questions the Agency receives. The tool generates a draft response that is then refined/updated prior to providing a formal response. Travel Policy GPT is an internal facing GenAI tool to augment the FEMA workforce in generating initial responses to questions regarding FEMA/DHS Travel Policy and providing a preliminary response to the travel specialist to use in their formal response to the queries. The tool generates a draft response that is then refined/updated prior to providing a formal response. Fiscal Policy GPT is an internal facing GenAI tool to augment the FEMA workforce in providing preliminary responses to questions regarding FEMA/DHS Fiscal Policy. Fiscal Policy GPT will leverage the DHS FMPM and FEMA Fiscal Policy documents. The tool is planned to generate a draft response with references to assist FEMA internal workforce in compliance with established policy. These tools are leveraged in the data gathering stage and do not replace any current analysts work or leadership review, as required, prior to submittal via any formal request for information process.","Budget Exhibits, Passback Materials, Hearing Testimony, Questions Received, Answers Provided

Travel Policy Documents (Joint Travel Regulation (JTR), DHS Travel Policy, FEMA Travel Policy)

Fiscal Policy Documents - Treasury Financial Manual (TFM), DHS Financial Policy Manual, FEMA Fiscal Policies",,No,,,Yes,,,,,,,,,,
Department Of Homeland Security,DHS-2441,OCFO Code Assist GPT,FEMA,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,Deployed,c) Not high-impact,Not high-impact,,Administrative Functions,Generative AI,"Code Assist Generative Pre-trained Transformer (GPT) is an internal facing Generative AI (GenAI) tool to augment the FEMA workforce in generating and troubleshooting existing queries in established query languages (e.g., SQL, Java, COBOL). Users enter the language they are querying, and the Code Assist GPT then provides a proposed query based on the elements provided. If the query is unsuccessful, the tool maintains the session, allowing users to prompt for enhancements until expected results are achieved. At the end of the session, all prompts and queries are removed, and no data is stored outside of the active session. The tool provides improves query generation and rapid iteration, saving users 80-90% of the time compared to custom query development. It also supports various computer languages to assist the data analytics community.","Saving users 80-90% of the time compared to custom query development, rapid iteration which includes error resolution to query complex data sets and multiple computer languages (COBOL, SQL, Python, etc)","Leverages Azure Commercial OpenAI within the FEMA system boundary, currently leveraging ChatGPT4o.  Code Assist GPT is an internal facing GenaAI tool to augment the FEMA workforce in generating and troubleshooting existing queries in established query languages. The user simply enters the language they are trying to query (i.e. SQL, Java, COBOL, etc) and the Code Assist GPT then provides a proposed query based on the elements provided by the user. If the user experiences an error or the query is not successful, the Code Assist GPT maintains the session as long as the user is still logged in and hasn't restarted the session, the user can continue to prompt the GPT to provide enhancements to the provided query until results are as expected. At the end of the user session, all prompts/queries are removed and no data is stored outside of the active user session.",2025-04-11 00:00:00,c) Developed with both contracting and in-house resources,Microsoft (OpenAI part of Azure Commercial Cloud offerings),Yes,"Leverages Azure Commercial OpenAI within the FEMA system boundary, currently leveraging ChatGPT4o.  Code Assist GPT is an internal facing GenaAI tool to augment the FEMA workforce in generating and troubleshooting existing queries in established query languages. The user simply enters the language they are trying to query (i.e. SQL, Java, COBOL, etc) and the Code Assist GPT then provides a proposed query based on the elements provided by the user. If the user experiences an error or the query is not successful, the Code Assist GPT maintains the session as long as the user is still logged in and hasn't restarted the session, the user can continue to prompt the GPT to provide enhancements to the provided query until results are as expected. At the end of the user session, all prompts/queries are removed and no data is stored outside of the active user session.","Programming languages were used to test and fine tune the model, such as JAVA Script, COBOL, SQL, Python.  The tool leverages the ChatGPT4o model with the inherent capability.The tool was validated with extensive User Acceptance Testing validating inputs and outputs against similar queries that already were written and performed manually.  This was then validated with a pilot group of users with an expansion to other user groups for use.",,No,,,Yes,,,,,,,,,,
Department Of Homeland Security,DHS-2710,Executive Summary GPT,FEMA,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,Deployed,c) Not high-impact,Not high-impact,,Administrative Functions,Generative AI,Provides the ability for users to upload documents and provide an executive summary on those documents.,Quickly analyze lengthy or complex documents for relevance to FEMA and/or to provide a high level summary for leadership on potential impacts.,"Leverages Azure Commercial OpenAI within the FEMA system boundary, currently leveraging ChatGPT4o. A summary of a document or documents that can be leveraged for high level summaries for leadership or potential impacts.",2025-04-16 00:00:00,a) Purchased from a vendor,Microsoft (Azure Commercial OpenAI Cloud Offerings),Yes,"Leverages Azure Commercial OpenAI within the FEMA system boundary, currently leveraging ChatGPT4o. A summary of a document or documents that can be leveraged for high level summaries for leadership or potential impacts.",Sample documents were provided and executive summary was reviewed for relevance/accuracy.,,No,,,Yes,,,,,,,,,,
Department Of Homeland Security,DHS-2720,Public Assistance Workload Projections,FEMA,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,Deployed,c) Not high-impact,Not high-impact,,Emergency Management,Classical/Predictive Machine Learning,"The use case is predicting recovery program quantities of interest using supervised learning models to include predicting the number of applicants who will apply for Public Assistance, predicting the number of PA projects that applicants will submit, predicting the number of sites that will need to be inspected per PA project, predicting the cost of delivering assistance, etc. Supervised learning models include but are not limited to the use of sample statistics, generalized linear models, decision trees, and deep neural networks for the purpose of predicting unknown quantities.","1.	For informational purposes: the models will produce predictions for to-be-determined quantities of interest. These quantities are often of interest to Agency personnel in the field, region, and headquarters, as well as DHS, OMB, NSC, and the White House._x000D_
2.	For decisional purposes: in addition to being informative, the model’s predictions are likely to be used for decision making. Projections help inform staffing levels and timing.","Supervised learning models produce predictions, not recommendations and not decisions (though they can be used to inform human users in making recommendations and decisions)._x000D_
_x000D_
A minimum, these supervised learning models will produce point predictions for the different quantities of interest for disaster declarations. Additionally supervised learning models may produce prediction intervals or predictive distributions as feasible and appropriate for the given prediction problem. Often these outputs will be shared via business intelligence tools (e.g., Tableau or PowerBI) for wide internal FEMA use. Some predictions may be shared to a more restricted audience through simpler means (e.g., an excel workbook) as appropriate.",2018-10-01 00:00:00,b) Developed in-house,,No,"Supervised learning models produce predictions, not recommendations and not decisions (though they can be used to inform human users in making recommendations and decisions)._x000D_
_x000D_
A minimum, these supervised learning models will produce point predictions for the different quantities of interest for disaster declarations. Additionally supervised learning models may produce prediction intervals or predictive distributions as feasible and appropriate for the given prediction problem. Often these outputs will be shared via business intelligence tools (e.g., Tableau or PowerBI) for wide internal FEMA use. Some predictions may be shared to a more restricted audience through simpler means (e.g., an excel workbook) as appropriate.","FEMA: Historical Declaration and Public Assistance activity data_x000D_
U.S. Census: Housing Units Logged, Density Housing Units, Number City/Township Govs, Number of Special District Govs_x000D_
DHS Infrastructure: Fire Stations, Electric Substations, Dams, Ten Mile Power Lines_x000D_
Dept of Agriculture: Agricultural Land (sq. miles), Wetland (sq. miles), Developed Land (sq. miles)",,No,,,Yes,,,,,,,,,,
Department Of Homeland Security,DHS-2722,Individual Assistance (IA) Predictive Models for Program Quantities,FEMA,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,Deployed,c) Not high-impact,Not high-impact,,Emergency Management,Classical/Predictive Machine Learning,"The use case is predicting recovery program quantities of interest using supervised learning models to include predicting the number of applicants who will apply for Individual Assistance, how many inspections will be issued, and how many units are required for direct housing. Supervised learning models include but are not limited to the use of sample statistics, generalized linear models, decision trees, and deep neural networks for the purpose of predicting unknown quantities.","The models are intended to quickly quantify and reduce uncertainty around key quantities of interest to enable better programmatic decision making, such as workload management, pre-placement of staff, etc.","The outputs are the predicted values for the quantities of interest, e.g. number of survivors who will register for assistance, number of inspections issued, etc.",2019-02-01 00:00:00,b) Developed in-house,,No,"The outputs are the predicted values for the quantities of interest, e.g. number of survivors who will register for assistance, number of inspections issued, etc.","Historical data obtained from the National Emergency Management Information System (NEMIS); _x000D_
Decennial Census and American Community Survey household data",,No,,,Yes,,,,,,,,,,
Department Of Homeland Security,DHS-2424,AI Assisted Compromise Email Detector (AACED),ICE,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,Deployed,c) Not high-impact,Not high-impact,,Cybersecurity,Classical/Predictive Machine Learning,This use case intends to solve the problem of the extensive manual effort required to review emails for signs of cyber compromise.,"The use case was developed to assist ICE SOC in reviewing a collection of emails between ICE personnel and Microsoft that were part of Emergency Directive 24-02.  The use case provides a faster mechanism to the SOC analysts to determine indicators of compromise, reducing the level of effort for these individuals’ analysis exponentially.  To assist the analysts, Named Entity Recognition (NER) was used to detect PII and other associated keywords to increase analyst productivity, and reduce time required to analyze emails.",Outputs are named entities and generated text for specific questions. Chat interface for analyst to conduct Q&A with email as context.,2024-06-01 00:00:00,b) Developed in-house,,No,Outputs are named entities and generated text for specific questions. Chat interface for analyst to conduct Q&A with email as context.,Stored Agency emails used for validation.,,Yes,,,Yes,,,,,,,,,,
Department Of Homeland Security,DHS-2425,Intelligent Document Processing,ICE,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,Deployed,c) Not high-impact,Not high-impact,,Administrative Functions,Computer Vision,This use case intends to solve the problem of the manual effort required to validate and extract data from forms.,"Business units within ICE leverage these services to automate repeatable, time-consuming processes such as invoice processing, and form entry validation and extraction. This platform will provide Optical Character Recognition and machine learning models to verify, extract, and classify information from ICE forms. Using AI to provide information extraction for these processes saves ICE personnel a significant amount of time while improving data quality and enabling automation.","This platform will provide Optical Character Recognition and machine learning models to verify, extract, and classify information from ICE forms.",2019-06-01 00:00:00,c) Developed with both contracting and in-house resources,UiPath; Microsoft; Apryse; Personable Inc.,Yes,"This platform will provide Optical Character Recognition and machine learning models to verify, extract, and classify information from ICE forms.","ICE’s document understanding platforms provide out-of-the box models to verify and/or extract information from a variety of document types. These platforms also include the ability to create an ML feedback loop to tailor the models to try to improve the accuracy in extracting data fields from multiple document types. In this scenario, ICE would fine-tune the document understanding model using the documents submitted to the understanding workflow.",,Yes,,,Yes,,,,,,,,,,
Department Of Homeland Security,DHS-2426,"Cybersecurity Threat Management, Detection, and Response",ICE,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,Deployed,c) Not high-impact,Not high-impact,,Administrative Functions,Classical/Predictive Machine Learning,This use case intends to solve the problem of detecting and responding to cybersecurity threats in a timely manner.,"These AI capabilities provide security analysts with modern tools to identify and respond to threats much more quickly than previously possible, minimizing potential damage to systems and data.","CD&I uses several AI-enabled cybersecurity tools to analyze this data. Machine learning (ML) models, such as classification and regression models, are used to analyze historical data and detect emerging threats through pattern recognition. Other ML capabilities include continuous monitoring of ICE cybersecurity data and the algorithmic identification of real-time cyber threats. This includes recognizing phishing patterns, malware signatures, or abnormal network traffic patterns across a variety of tools. Additionally, CD&I is in the process of integrating its open-source intelligence cybersecurity threat analysis platform with an LLM. This integration will allow platform users to summarize open-source intelligence on cybersecurity threats and more easily research and respond to potential cybersecurity events.",2021-03-16 00:00:00,a) Purchased from a vendor,Illumio; AttackIQ; Cofense; Splunk; Crowdstrike; Polarity,Yes,"CD&I uses several AI-enabled cybersecurity tools to analyze this data. Machine learning (ML) models, such as classification and regression models, are used to analyze historical data and detect emerging threats through pattern recognition. Other ML capabilities include continuous monitoring of ICE cybersecurity data and the algorithmic identification of real-time cyber threats. This includes recognizing phishing patterns, malware signatures, or abnormal network traffic patterns across a variety of tools. Additionally, CD&I is in the process of integrating its open-source intelligence cybersecurity threat analysis platform with an LLM. This integration will allow platform users to summarize open-source intelligence on cybersecurity threats and more easily research and respond to potential cybersecurity events.","The cybersecurity solutions use commercially available large language models that have been trained on the public domain by their providers. There was no additional training using agency data on top of what is available in the models’ base set of capabilities. During operation, the AI models interact with ICE production data from multiple sources, including data from Microsoft Defender for Office (Polarity) and suspected malicious reported emails from ICE personnel (Triage).",,Yes,,,No,,,,,,,,,,
Department Of Homeland Security,DHS-2515,AI-Enhanced ICE Tip Processing,ICE,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,Deployed,c) Not high-impact,Not high-impact,,Law Enforcement,Generative AI,This use case intends to solve the problem of the time-consuming manual effort required to review and categorize incoming tips.,"The use of AI in this process enables the Tip Line team to more quickly identify and action tips recommended for urgent case categories. Additionally, the introduction of a BLUF field saves time by providing analysts with a high-level understanding of a tip before they review its details.","This solution uses a large language model (LLM) to enrich web tips with two additional data elements: (1) a high-level summary of the tip (BLUF), and (2) a recommended case category. The LLM generates BLUFs in English, regardless of the language used in the raw tip submission. For non-English tips, analysts may click a button to translate the full tip violation summary data element into English. The LLM is configured to only recommend case categories from a list of predefined HSI case categories.",2025-05-02 00:00:00,a) Purchased from a vendor,Palantir,Yes,"This solution uses a large language model (LLM) to enrich web tips with two additional data elements: (1) a high-level summary of the tip (BLUF), and (2) a recommended case category. The LLM generates BLUFs in English, regardless of the language used in the raw tip submission. For non-English tips, analysts may click a button to translate the full tip violation summary data element into English. The LLM is configured to only recommend case categories from a list of predefined HSI case categories.","The system uses commercially available large language models trained on the public domain data by their providers. There was no additional training using agency data on top of what is available in the models’ base set of capabilities. During operation, the AI models interact with tip submissions.",,Yes,,,Yes,,,,,,,,,,
Department Of Homeland Security,DHS-2553,Media Classifier for Computer and Digital Storage Evidence,ICE,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,Deployed,c) Not high-impact,Not high-impact,,Law Enforcement,Computer Vision,"The AI is intended to solve the problem of analysts having to manually sort and review large volumes of media files from digital storage devices, which makes it difficult and time‑consuming to organize evidence and identify potentially relevant material.","By automating the initial classification of large volumes of media evidence, the platform enables Homeland Security Investigations personnel to more efficiently identify and review potentially relevant information, improving the overall effectiveness of digital investigations.","The platform incorporates a machine learning model that classifies media evidence from lawfully obtained computer and digital storage devices and suggests category tags based on user-selected categories, such as cars, drugs, or weapons.",2023-08-29 00:00:00,a) Purchased from a vendor,Cellebrite,No,"The platform incorporates a machine learning model that classifies media evidence from lawfully obtained computer and digital storage devices and suggests category tags based on user-selected categories, such as cars, drugs, or weapons.","The vendor did not provide information on the data sets used to train its models. However, HSI does not provide the vendor with any agency data to train, fine-tune, or evaluate performance of the model(s) used in this use case.",,Yes,,,No,,,,,,,,,,
Department Of Homeland Security,DHS-2758,AI-Powered Developer Tools,ICE,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,Deployed,c) Not high-impact,Not high-impact,,Information Technology,Generative AI,"The AI is intended to solve the problem of time‑consuming manual developer tasks, including debugging code, writing database queries, and analyzing system metrics, which slows application development and makes it harder to quickly identify and fix issues.","By streamlining routine coding tasks and surfacing useful system insights, AI-enabled developer tools increase developer productivity and support faster, higher-quality delivery of software across ICE.","The outputs of these AI-enabled tools include suggested code snippets, refactoring recommendations, optimized queries, and analytics summaries related to system behavior or performance. These outputs are presented to developers as proposed changes or insights, which must be reviewed and approved before being incorporated into the codebase through existing version control and deployment processes. The tools do not directly modify production systems; all changes must go through standard human review, testing, and approval workflows.",2025-04-15 00:00:00,a) Purchased from a vendor,Palantir,Yes,"The outputs of these AI-enabled tools include suggested code snippets, refactoring recommendations, optimized queries, and analytics summaries related to system behavior or performance. These outputs are presented to developers as proposed changes or insights, which must be reviewed and approved before being incorporated into the codebase through existing version control and deployment processes. The tools do not directly modify production systems; all changes must go through standard human review, testing, and approval workflows.",The system uses commercially available large language models that have been trained on the public domain by their providers. There was no additional training using agency data on top of what is available in the models’ base set of capabilities.,,Yes,,,No,,,,,,,,,,
Department Of Homeland Security,DHS-2759,Open-Source Intelligence for Investigations,ICE,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,Deployed,c) Not high-impact,Not high-impact,,Law Enforcement,Generative AI,"The AI is intended to solve the problem of analysts having to manually search and make sense of vast amounts of multilingual, multimodal publicly available online data, which makes it difficult to efficiently identify relevant identifiers, high‑risk content, and patterns needed to support Homeland Security Investigations (HSI) investigations.","These AI tools significantly reduce the time and effort required to sift through large datasets, improve the ability to uncover relevant information, and enhance the overall efficiency and effectiveness of HSI’s investigative operations.","The outputs of these platforms include flagged risk alerts, extracted identifiers, image and sentiment classification, and suggested investigative leads. These platforms do not perform biometric identification, facial recognition for identity verification, autonomous targeting, or automated enforcement actions. All AI-enabled outputs are subject to mandatory human-in-the-loop review prior to any investigative, operational, or enforcement action.",2023-09-01 00:00:00,a) Purchased from a vendor,"Penlink, Fivecast",No,"The outputs of these platforms include flagged risk alerts, extracted identifiers, image and sentiment classification, and suggested investigative leads. These platforms do not perform biometric identification, facial recognition for identity verification, autonomous targeting, or automated enforcement actions. All AI-enabled outputs are subject to mandatory human-in-the-loop review prior to any investigative, operational, or enforcement action.","The AI platforms used for open-source intelligence investigations rely on pre-trained large language models, natural language processing models, and other third-party AI services. These models are trained on publicly available and commercially licensed data. No DHS or agency data is used to train, fine-tune, or develop the AI models.",,Yes,https://www.dhs.gov/sites/default/files/2024-11/24_1126_priv_pia_ice064_socialmedia.pdf,"Race/Ethnicity, Sex/Gender, Age",No,,,https://www.dhs.gov/sites/default/files/2024-11/24_1126_priv_pia_ice064_socialmedia.pdf,,,,,,,
Department Of Homeland Security,DHS-P1,Normalization Services,ICE,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,Deployed,c) Not high-impact,Not high-impact,,Law Enforcement,Classical/Predictive Machine Learning,"This use case intends to solve the problem of data redundancies, inconsistencies difficult to integrate data that hinders the efficiency and accuracy of investigations.","HSI utilizes artificial intelligence to enhance data accuracy and efficiency by verifying, validating, correcting, and normalizing various types of information, including addresses, phone numbers, names, and ID numbers. This process helps to eliminate data entry errors, detect intentional misidentification, and connect related information across multiple datasets, ultimately reducing the time and resources required for investigations. The machine learning-powered normalization services offered by HSI include converting ambiguous addresses into usable formats, identifying ID types from partial information, categorizing names with complex suffixes and family names, and standardizing phone numbers to the E164 format, including determining their originating county. By normalizing and improving the quality of investigative datasets, HSI is able to use more advanced tools to find correlations and leads that would have otherwise gone undetected without extensive manual effort.","The output includes normalized data that improves search capability during investigations. This includes normalizing data to update less well-defined addresses into usable addresses for analysis- (such as those using mile markers instead of a street number); inferring ID type based on user-provided ID value (such as distinguishing a SSN from a DL number without additional context); categorizing name parts while taking into account additional factors (including generational suffixes and multi-part family names); and validating and normalizing phone numbers to the E164 standard, including their identified county of origin.",2021-04-01 00:00:00,c) Developed with both contracting and in-house resources,Booz Allen,Yes,"The output includes normalized data that improves search capability during investigations. This includes normalizing data to update less well-defined addresses into usable addresses for analysis- (such as those using mile markers instead of a street number); inferring ID type based on user-provided ID value (such as distinguishing a SSN from a DL number without additional context); categorizing name parts while taking into account additional factors (including generational suffixes and multi-part family names); and validating and normalizing phone numbers to the E164 standard, including their identified county of origin.","Data holdings within HSI case files that require normalization (e.g. subpoenaed phone record). This includes, but is not limited to, evidentiary records containing phone numbers, names, addresses, and ID numbers.",,Yes,https://www.dhs.gov/sites/default/files/2025-06/25_0618_priv_pia-ice-055-raven-appendix-update.pdf,,Yes,,,https://www.dhs.gov/sites/default/files/2025-06/25_0618_priv_pia-ice-055-raven-appendix-update.pdf,,,,,,,
Department Of Homeland Security,DHS-2433,DHS-Chat,MGMT,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,Deployed,c) Not high-impact,Not high-impact,,Administrative Functions,Generative AI,"DHS personnel need a reliable solution to quickly access accurate information, process documents, and support work tasks within the DHS Workspace. Existing workflows are often time-consuming and inefficient, and there is a need to streamline operations while maintaining compliance with security requirements.","This is a chatbot based on a Large Language Models (LLM) for internal DHS employee use - It's like chat-GPT for DHS but approved for use with non-classified but internal information (this includes FOUO (For Official Use Only) CUI (Controlled Unclassified Information) due to its improved security compared to publicly available chatbots. 

This tool is able to dynamically create written content through text prompts submitted by the user. Approved applications of this tool to DHS business include generating first drafts of documents that a human would subsequently review, conducting and synthesizing research on open-source information and internal documents, and developing briefing materials or preparing for meetings and events.",The internally available generative AI tool outputs text based on the users input.,2024-12-12 00:00:00,b) Developed in-house,,Yes,The internally available generative AI tool outputs text based on the users input.,"No agency-owned data was used to train, fine-tune, or evaluate the model. The model was trained on publicly available datasets and general knowledge up to the specified cutoff date. No DHS-specific or agency-owned data was incorporated during model development.",,No,,,Yes,,,,,,,,,,
Department Of Homeland Security,DHS-2453,ESEC Inquiry (STORM) Summarization,MGMT,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,Deployed,c) Not high-impact,Not high-impact,,Administrative Functions,Generative AI,"This use case is intended to decrease the time it takes to enter incoming requests into Storm. By summarizing the request, analysts are able to more quickly take action and assign to relevant parties. It will also lead to future capabilities to draft responses to those requests.","ESEC-STORM AI employs Generative Artificial Intelligence (Gen-AI) technology to automate the creation of document summaries. This advanced system facilitates the automatic integration of these summaries into the System of Tracking, Operations, and Record Management (STORM), thereby optimizing the management of correspondence and information requests.","When a user creates a new work package and uploads a letter, it activates a Power Apps workflow that creates a summary.",2024-12-13 00:00:00,c) Developed with both contracting and in-house resources,Microsoft,Yes,"When a user creates a new work package and uploads a letter, it activates a Power Apps workflow that creates a summary.","The commercial models used for this use case were trained using a diverse range of publicly available data, including text from books, articles, websites, and other sources and data types.",,No,,,Yes,,,,,,,,,,
Department Of Homeland Security,DHS-419,AdaptiveMFA,MGMT,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,Deployed,c) Not high-impact,Not high-impact,,Administrative Functions,Classical/Predictive Machine Learning,"Enhances security and the user experience, including: Behavioral Anomaly Detection - AI monitors user activity over time to establish a baseline pattern of their behavior.  If a login attempt deviates significantly, such as logging in from a foreign country, unknown workstation, or disallowed IP address space, Okta can trigger Adaptive Multi-factor Authentication (aMFA) to block access. Adaptive MFA - Okta's AI-powered Adaptive MFA tailors security challenges based on risk level. Trusted users might only need a password, while high-risk users are prompted for biometric or application-based verification. Real-Time Threat Detection - Okta's integration with AI-driven threat intelligence platforms like CrowdStrike and Microsoft Defender enhance real-time visibility into threats, correlating data from endpoint, network, and identity layers. Access Governance with Intelligence - AI enables smarter access reviews and role recommendations.  It detects unusual access rights, flags overprovisioned users, and automatically suggests changes. AI is integrated into DHS's identity and access management solutions to strengthen security and enhance the user experience.","Adaptive Multi-factor Authentication (aMFA) introduces additional intelligence into Identity flows by taking into account the authentication context data during the authentication. Using the data, DHS is able to adapt security and authentication policies to enhance the security to DHS systems.","The input includes: device, network, location, travel, IP, and external data from third parties and endpoint security integrations. The output are Risk ratings HIGH, MEDIUM, LOW for each authentication attempt which can be configigured to require stricted access comtrol policies.",2025-03-30 00:00:00,c) Developed with both contracting and in-house resources,Okta,Yes,"The input includes: device, network, location, travel, IP, and external data from third parties and endpoint security integrations. The output are Risk ratings HIGH, MEDIUM, LOW for each authentication attempt which can be configigured to require stricted access comtrol policies.",The system collects signal data during authentication to dynamically build behaviors of the user.,,No,,,No,,,,,,,,,,
