"SECTION 1: Use Case Identifiers
Complete this Section for the following Use Cases: Retired,  Pre-deployment, Pilot, and Deployed",,,,,,,,"SECTION 2: Use Case Summary
Complete this Section for the following Use Cases: Pre-deployment, Pilot, and Deployed",,,,,"SECTION 3: Documentation
Complete this Section for the following Use Cases: Pilot, and Deployed

",,,,,"SECTION 4: Data & Code
Complete this Section for the following Use Cases: Pilot, and Deployed",,,,,,,"
SECTION 5: Risk Management 
Complete this Section for the following Use Case: Deployed and if ""HIGH-IMPACT"" from SECTION 1

",,,,,,,,,,,,,,,,,,
DOI-0126,"Species Distribution Models for Pectis imberbis, a Rare Plant Species in Southeastern Arizona",USGS,caio@doi.gov,a) No,"Retired – The use case was reported in the agency’s prior year’s inventory, but its development and/or use has since been discontinued.",c) Not high-impact,,,,,,,,,,FALSE,,,,FALSE,,,FALSE,,,,,,,,,,,,,,,,,,,,
DOI-0124,Animas River Metals Surrogate,USGS,caio@doi.gov,a) No,Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,"Estimating metal concentrations in the Animas River near Cedar Hill, NM. ",Increase metal concentration temporal resolution by reducing the need to physically sample surface waters within the river system. ,Predicted metal concentrations in the Animas River,,,,FALSE,,,,FALSE,,None of the Above,FALSE,,,,,,,,,,,,,,,,,,,,
DOI-0121,[Un]supervised clustering of [non-]earthquake signals commonly recorded on regional seismic networks,USGS,caio@doi.gov,a) No,Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,"Surficial mass movements (SMMs), such as landslides and rockfalls, have seismic signatures distinct from other routinely-recorded seismic sources like earthquakes and explosions. This project aims to develop a classification scheme to differentiate between seismic signals generated by different sources, especially for those generated by vertical processes (""fall"") versus those generated by horizontal processes (""slides"").","By automatically discriminating the different sources that generate observed seismic signals, we can more accurately catalog the events and respond to them in more timely, appropriate ways.","Events will be automatically classified as seismogenic (e.g., eathquakes or explosions) surficial mass motions (e.g., falls or slides) using statistical metrics extracted from real-time seismic waveform data.",,,,FALSE,,,,FALSE,N/A,None of the Above,FALSE,N/A,,,,Yes – by another appropriate agency office or reviewer not directly involved in the AI’s development,"Yes, sufficient monitoring protocols have been established","Yes, sufficient and periodic training has been established",Not applicable,Establishment of an appropriate appeal process is in-progress,In-progress,,,,,,,,,,
DOI-0110,Inference of PFAS precursor compositions ,USGS,caio@doi.gov,a) No,Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,"This approach will allow for better identification of PFAS source zones and materials, and will enable better estimation of transport processes","Improved understanding of PFAS compositions, sources, and transport mechanisms will improve mitigation strategies. These improvements have the potential to reduce mitigation costs while improving overall outcomes. ",Tabular data of predicted PFAS precursor compositions. ,,,,FALSE,,,,FALSE,Not applicable. ,None of the Above,FALSE,https://pubs.acs.org/doi/10.1021/acs.estlett.0c00798,,,,Yes – by another appropriate agency office or reviewer not directly involved in the AI’s development,"Yes, sufficient monitoring protocols have been established","Yes, sufficient and periodic training has been established",Not applicable,Establishment of an appropriate appeal process is in-progress,In-progress,,,,,,,,,,
DOI-0118,Using Graph Neural Networks for development of nonergodic earthquake ground-motion models,USGS,caio@doi.gov,a) No,Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,"May ultimately enable better hazard assessment, reduces potential disaster costs, and improves the accuracy of public hazard maps and building guidelines.","This work may help improves seismic ground motion predictions, guiding safer construction and disaster planning while reducing long-term costs.","Generates predictions of ground motion that account for local site and path effects, improving accuracy of seismic hazard models.",,,,FALSE,,,,FALSE,N/A,None of the Above,FALSE,https://code.usgs.gov/ghsc/users/kwithers/nshmp-lib-1,,,,,,,,,,,,,,,,,,,
DOI-0120,Modeling Rupture Directivity Effects on Ground Motion Using Neural Networks,USGS,caio@doi.gov,a) No,Pilot – The use case has been deployed in a limited test or pilot capacity.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,"We use Artificial Neural Networks (ANNs) to more accurately modeling ground motion amplification effects caused by rupture directivity during earthquakes. These effects are complex and challenging to capture using traditional methods, which can impact the accuracy of seismic hazard assessments.",computationally efficient method to improve seismic hazard modeling by incorporating rupture directivity effects ,The outputs here are adjustments to the median and standard deviation of ground-motion model predictions. The AI system predicts the amplified ground motion effects due to rupture directivity and are used to refine seismic hazard assessments in a computationally lightweight manner.,6/1/2024,Developed in-house,,TRUE,,The training data was derived from a publicly available rupture directivity model.,,FALSE,,None of the Above,FALSE,,,,,,,,,,,,,,,,,,,,
DOI-0119,Deep?learning Integrations into NEIC Operations [2024 INV#WO0000000109496],USGS,caio@doi.gov,a) No,Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,The AI model improves the rapid detection of earthquakes. ,Reduces the time analysts need to work on poorly located or incorrect earthquake detections.,"The algorithms predicts the type of seismic phases detected, the distance the earthquake is from the receiver, and improves the event detection time. ",6/2/2021,Developed in-house,,TRUE,,Models were trained on public seismic data. Training data set was published and is available. ,https://doi.org/10.1785/0220200178,FALSE,,None of the Above,FALSE,https://code.usgs.gov/ghsc/neic/aiml/neic-aidem,,,,,,,,,,,,,,,,,,,
DOI-0109,LLM-Assisted Volcanic Alert Monitoring,USGS,caio@doi.gov,a) No,Pilot – The use case has been deployed in a limited test or pilot capacity.,c) Not high-impact,,Science,Natural Language Processing (NLP),The primary goal of this project is to automate the monitoring of volcanic alert levels from the public websites of our partner observatories. ,"Currently, this process can involve manual checks, which are time-consuming. This project aims to create a rapid, efficient, and resilient method for gathering this critical data, increasing the quality of our situational awareness and value",Data collection,7/31/2025,Developed in-house,,FALSE,,None needed as a generic LLM is used. Data processed is public data. ,,FALSE,,None of the Above,FALSE,,,,,Yes – by another appropriate agency office or reviewer not directly involved in the AI’s development,"Yes, sufficient monitoring protocols have been established","Yes, sufficient and periodic training has been established",Not applicable,Establishment of an appropriate appeal process is in-progress,,,,,,,,,,,
DOI-0117,USGS Flow Photo Explorer [2024 INV#WO0000000109196],USGS,caio@doi.gov,a) No,Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,"The Flow Photo Explorer (FPE) is an integrated database, machine learning, and data visualization platform for monitoring streamflow and other hydrologic conditions using timelapse images.

The goal of this project is to develop new approaches for collecting hydrologic data in streams, lakes, and other waterbodies, especially in places where traditional monitoring methods and technologies are not feasible or cost-prohibitive.

FPE uses an artificial intelligence/machine learning (AI/ML) deep learning model to estimate relative streamflow using timelapse imagery. The model is trained using pairs of images for which a person (a.k.a. an annotator) has selected which of the two images in each pair appears to have more flow. From this, the model learns how to sort the images from lowest to highest apparent flow. The rankings of the sorted images then serve as indicators of the relative amount of streamflow.","cost savings, increased safety for employees and the public",Predicted relative flow hydrograph.,10/1/2021,Developed with both contracting and in-house resources,Walker Environmental Research LLC,FALSE,,The model is trained on human annotations of images captured by trail cameras. See the USGS Flow Photo Explorer to view training data and interface. Model performance is evaluated with timeseries streamflow data collected by collocated USGS streamgages. The streamflow data is made publicly available via the USGS National Water Information System (NWIS).,,FALSE,,None of the Above,FALSE,https://www.usgs.gov/software/streamflow-rank-estimation-sre-model,,,,,,,,,,,,,,,,,,,
DOI-0116,Synthesizing mapping and monitoring data to understand fluctuations in prairie dog colony size and densities in Theodore Roosevelt National Park [2024 INV#WO0000000109308],USGS,caio@doi.gov,a) No,Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Computer Vision,Mapping prairie dog colonies in national is labor intensive and costly. One of the aims of this project is to develop open-source methods for mapping prairie dog colonies using satellite data.,Cost and time savings,Prediction and map of the location of prairie dog colonies.,,Developed in-house,,FALSE,,,,FALSE,,None of the Above,FALSE,,,,,,,,,,,,,,,,,,,,
DOI-0115,Coastal Change Likelihood: Synthesizing change factors using supervised learning,USGS,caio@doi.gov,a) No,Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,A supervised machine-learning framework (support vector machine algorithm) is used to predict future decadal-scale coastal change and its primary driver by combining over 20 published coastal geospatial datasets that describe the coastal landscape and the hazards that affect it. ,"The Coastal Change Likelihood project is a computer-aided synthesis of the factors that determine future coastal landscape change that can be used by decision makers to support adaptation, mitigation, and prioritization of coastal zone resources and infra","The system produces maps of future coastal change, along with an indicator of the primary hazard(s) that produce the estimated change. ",2/28/2023,Purchased from a vendor,ESRI,TRUE,,"NOAA’s CCAP, NAIP imagery. Also data from the National Aerial Imagery Program. See publication for more information on performance evaluation: https://doi.org/10.2112/JCOASTRES-D-24-00072.1 ",https://www.sciencebase.gov/catalog/item/61781c1bd34e4c6b7fe2a425,FALSE,,None of the Above,FALSE,,,,,,,,,,,,,,,,,,,,
DOI-0114,Improving Prediction Capabilities for Barrier Island Landscape Change,USGS,caio@doi.gov,a) No,Pilot – The use case has been deployed in a limited test or pilot capacity.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,"This research uses several AI/ML tools to observe and analyze coastal landscape change at critical habitats along barrier islands. The work employs traditional ML methods (random forest model), and more cutting-edge methods, like foundation models (e.g. Segment Anything). AI tools that leverage human-in-the-loop methods (e.g. Doodler) enable efficient and reliable landcover map creation from aerial and satellite imagery and enhanced historical imagery that provides important long-term perspectives of landcover change. This work aids land management decision-making and risk assessments and provides data for model validation. ","More accurate and longer-term information leads to more efficient and effective resource management, protecting property and national interests. ",Data products include landcover maps and change maps; Publications describe model validation for coastal natural hazards and landscape evolution; Continued development of AI/ML methods and workflows to inform landscape change assessments.,6/1/2023,Developed with both contracting and in-house resources,"Marda Science, LLC; ESRI; Python libraries (open-source)",FALSE,,Coastal aerial imagery and ground-reference data (example data release with attributed information is located at  https://www.sciencebase.gov/catalog/item/67927873d34e88f5864c49b0) ,,FALSE,,None of the Above,FALSE,,,,,,,,,,,,,,,,,,,,
DOI-0113,Lake-wide monitoring and assessment of Great Lakes fisheries with autonomous vehicles and image analysis,USGS,caio@doi.gov,a) No,Pilot – The use case has been deployed in a limited test or pilot capacity.,c) Not high-impact,,Science,Computer Vision,Fisheries monitoring and assessment,"Improved management of economically valuable predator stocks that underpin recreational, economic, and subsistence fisheries of the Great Lakes",Whole-lake and site level estimates of species abundance for the Great Lakes,10/1/2020,Developed in-house,,FALSE,,"Underwater imagery annotated for locations of individual fish, geologic substrate, and invasive species",https://www.sciencebase.gov/catalog/item/67b8c515d34e1a2e835b7ffa,FALSE,,None of the Above,FALSE,https://code.usgs.gov/great-lakes-science-center/computer-vision/fishscale,,,,,,,,,,,,,,,,,,,
DOI-0112,RSCC and TCA projects [2024 INV#WO0000000108017],USGS,caio@doi.gov,a) No,Pilot – The use case has been deployed in a limited test or pilot capacity.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,"Automated identification of coastal features in remote sensing data, reduced analyst time",Increased efficiency in identifying coastal features in remote sensing data compared to existing methods that are human analyst time intensive. Increased efficiency was tested by timing traditional methods versus AI/ML methods,"Elevation and position of dune crest and toe, position of shoreline         ",6/21/2023,Developed in-house,,FALSE,,Data used to train and evaluate the model came from various USGS data releases of dune morphology and shorelines.  ,https://marine.usgs.gov/coastalchangehazardsportal/,FALSE,,None of the Above,FALSE,https://marine.usgs.gov/coastalchangehazardsportal/,,,,,,,,,,,,,,,,,,,
DOI-0107,Storm Induced Erosion Response Network,USGS,caio@doi.gov,a) No,Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,Tool is used for separation (segmentation) of land and water in images. The resulting mask is used to calculate water levels. Tool will be used to compare to forecasted water levels and may be displayed on USGS webpages,"Fast, efficent, and less expensive data processing than previous method, which was labor-intensive","Eroded dune volume, beach volume, beach width, dune crest elevation",,,,FALSE,,,,FALSE,na,None of the Above,FALSE,code in development/software release planned,,,,,,,,,,,,,,,,,,,
DOI-0106,Accelerating scientific discovery through AI-driven literature synthesis and meta-analysis using large language models [2024 INV#WO0000000201793]],USGS,caio@doi.gov,a) No,Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Natural Language Processing,"A team of USGS researchers are conducting a review of literature on drought and its affects on the western United States. Due to a large volume of literature, we are using AI to facilitate an efficient and reliable literature synthesis that can inform decision-making. These include effectively ranking most relevant literature to questions, identifying gaps in the literature, identifying data gaps, and coalescing currently known information.","These efforts will help expedite reviewing thousands of scientific studies that can support the project, but also support future efforts of compiling relevant information for NEPA planning or related tasks.","The outputs from AI will include identifications of study areas, relatedness to multiple topics (drought characteristics, hydrological and ecological processes, and hydrological and ecological responses). Using multiple LLMs and deep learning methods to evaluate the same context, we will have comparative information for model ensembles.",,,,FALSE,,,,FALSE,,Other,FALSE,Code will be published at the end of the project and currently resides as private on USGS GitLab.,,,,,,,,,,,,,,,,,,,
DOI-0102,Enhancing U.S. critical mineral supply chains through AI and remote sensing mapping of legacy mine sites and tailings,USGS,caio@doi.gov,a) No,Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Energy & the Environment,Reinforcement Learning,"There is growing interest in producing critical minerals and energy-related commodities within the United States to reduce dependence on foreign sources. However, many legacy mine sites remain poorly documented, with unknown locations, extents, and conditions, limiting opportunities to reassess the potential for extracting valuable materials from existing tailings and waste piles.","develop a scalable, data-driven framework for identifying and prioritizing legacy mine sites with potential for critical mineral recovery. offers a cost-effective, repeatable method for improving national inventories of mine waste and tailings",A data set of mapped mines and/or mine tailings for two regions in different ecosystems.,,,,FALSE,,,,FALSE,,None of the Above,FALSE,"Depending on outcome of the project, the code will be published.",,,,,,,,,,,,,,,,,,,
DOI-0104,Improving recreation opportunities and access to public lands through machine learning and transportation planning,USGS,caio@doi.gov,a) No,Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Transportation,Classical/Predictive Machine Learning,"Increasing access to public lands for recreation starts with effective transportation planning. However, most states lack comprehensive transportation datasets, including traffic volume estimates on roads accessing public lands.",Temporal traffic estimates across all roads with Colorado will improve how FHWA allocates money and addresses needs for increasing access to public lands. These data will also improve CDOT and other federal agencies in their transplantation planning needs,"Temporal traffic estimates (2013-2023 minimally) across all state and federal roads, including recreational roads.",,,,FALSE,,,,FALSE,,None of the Above,FALSE,Code will be published at the end of the project and currently resides as private on USGS GitLab.,,,,,,,,,,,,,,,,,,,
DOI-0108,Catalog of stock ponds using machine learning,USGS,caio@doi.gov,a) No,Pilot – The use case has been deployed in a limited test or pilot capacity.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,There are many undocumented stock ponds that retain water for use by farmers and ranchers throughout the landscape in the Dakotas. The stock pond AI model could identify unknown stock ponds to water managers for use in contaminant monitoring or water budget analysis and drought mitigation.,Identifying stock ponds in North Dakota using an automated ML model rather than manually doing so increases efficiency at the state level that could free up labor for other tasks. ,The stock pond ML algorithm outputs predicted locations of stock ponds and dams in lidar images in jpg format and a csv file of locations given in latitude and longitude.,4/1/2026,Developed in-house,,FALSE,,The model is trained on the publicly available lidar data disseminated by the North Dakota Department of Water Resources using the U-Net image segmentation architecture in PyTorch. The model is evaluated during training based on validation images through the use of RMSE. After the model development the output will be evaluated against known stock pond locations downloaded from the NDDWR and the U.S. Geological Survey National Hydrologic Data.,,FALSE,,None of the Above,FALSE,,,,,,,,,,,,,,,,,,,,
DOI-0105,Experimental Forecast for River Chlorophyll,USGS,caio@doi.gov,a) No,Pilot – The use case has been deployed in a limited test or pilot capacity.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,"Forecast total chlorophyll concentrations in streams across various locations, part of the Ecological Forecasting Initiative (EFI) which is a collaboration between USGS and this research organization.","Part of an experimental process to visualize stream forecasts for chlorophyll, improve model refinements, improve model accuracy, test understanding of drivers of harmful algal blooms.",Predictions - near-term forecasts (up to 30 days in advance) of total stream chlorophyll with separate graphs for model drivers and their trends/forecasts.,2/12/2025,Developed in-house,,FALSE,,Streamgage observational data and NOAA Global Ensemble Forecast System (GEFS). all publicly available data,,FALSE,,None of the Above,FALSE,https://zenodo.org/records/7065579,,,,,,,,,,,,,,,,,,,
DOI-0101,Multiple machine-learning estimation of groundwater levels and trends for the regional Mississippi River Valley alluvial aquifer,USGS,caio@doi.gov,a) No,Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,Improved water management at regional scales.,Prediction of groundwater levels at regional scales for better water management.,water level predictions,,,,FALSE,,,,FALSE,,None of the Above,FALSE,https://code.usgs.gov/map/gw/levs/covMRVAgen1,,,,,,,,,,,,,,,,,,,
DOI-0099,Lake Champlain Cyanobacteria Bloom modeling,USGS,caio@doi.gov,a) No,Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,Developing prediction for harmful algal bloom occurrence,Better understanding of the risks of harmful algal blooms at recreational areas,prediction,,,,FALSE,,,,FALSE,NA,None of the Above,FALSE,https://www.r-project.org/,,,,,,,,,,,,,,,,,,,
DOI-0098,Forest metrics at Redwood National and State Parks,USGS,caio@doi.gov,a) No,Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,We are developing a convolutional neural network in TensorFlow to predict the presence of treefall gaps based on Sentinel-2 imagery.,This information will help active timber management and will reduce wildfire risk and increase forest resilience.,Maps of forest canopy gaps,,,,FALSE,,,,FALSE,,None of the Above,FALSE,The code is on USGS GitLab,,,,,,,,,,,,,,,,,,,
DOI-0100,Predicting post-fire tree mortality,USGS,caio@doi.gov,a) No,Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,We used random forests to select predictor variables for models of individual tree mortality following fire.,These science products strengthen wildland fire and timber management practices.,Predictive models of postfire tree survivorship.,10/1/2021,Developed in-house,,FALSE,,A database of fire effects to describe the determinants of fire-induced tree mortality.,https://research.fs.usda.gov/firelab/products/dataandtools/fire-and-tree-mortality-database,FALSE,,None of the Above,FALSE,,,,,,,,,,,,,,,,,,,,
DOI-0096,Fire Effects at Whiskeytown National Recreation Area and Lava Beds National Monument,USGS,caio@doi.gov,a) No,Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,We used random forests to predict the mortality class (live/dead) of lidar derived tree approximate objects and vegetation conditions.,These science products will strengthen wildland fire and timber management practices.,Maps post-fire seed dispersal and tree survival following wildfire at Whiskeytown NRA and vegetation cover after wildfires at Lava Beds National Monument.,,,,FALSE,,,,FALSE,,None of the Above,FALSE,The code is on USGS GitLab,,,,,,,,,,,,,,,,,,,
DOI-0095,Global food-and-water security-support analysis data (GFSAD) project [2024 INV#WO0000000107073],USGS,caio@doi.gov,a) No,Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,"1. Landsat-derived rainfed and irrigated area-product of Conterminous United States (LRIP30)
2. Landsat-derived global cropland extent product @ 30 m (LGCEP30)
3. Landsat-derived global rainfed and irrigated area product @ 30 m (LGRIP30)","1. assessing Nation's irrigated and rainfed cropland areas 
2. critical to assessing crop water use, crop water productivity, and crop water savings 3. providing information on global irrigated and rainfed cropland area maps and statistics ",Producing irrigated and rainfed cropland maps and statistics of United States of America (USA) and the world using Landsat and other similar satellites at 30 m or better spatial resolution. For example: https://www.usgs.gov/apps/croplands/app/map. Numerous datasets and scientific papers are published on this work. Please visit: www.usgs.gov/wgsc/gfsad30,11/30/2017,Developed in-house,,FALSE,,"All data used in our AI models (ML\DL) are publicly available from sources such as U. S. Geological Survey (USGS), NASA, European Space Agency (ESA). These data are Landsat and Sentinel Satellites of USGS\NASA and ESA. We also use USDA Cropland Data Layer (CDL) for training and testing models. All these data are publicly available online.",https://doi.org/10.3133/pp1868,FALSE,,None of the Above,FALSE,,,,,Yes – by another appropriate agency office or reviewer not directly involved in the AI’s development,"Yes, sufficient monitoring protocols have been established","Yes, sufficient and periodic training has been established",Not applicable,Establishment of an appropriate appeal process is in-progress,,,,,,,,,,,
DOI-0094,Using deep learning to classify potential piping plover habitat along the Upper Missouri River,USGS,caio@doi.gov,a) No,Pilot – The use case has been deployed in a limited test or pilot capacity.,c) Not high-impact,,Science,Computer Vision,"The U.S. Army Corps of Engineers is required to assess piping plover habitat on the Missouri River annually, per a Biological Opinion. We have been using classification tools to map these habitats for over a decade. However, these methods are outdated and we will deep learning tools to automate the mapping of these habitats. This will create efficiencies once we have a production-scale model.","reduce time and effort, shorter customer wait times, allows shifting efforts to value-added science",Prediction map of piping plover habitat,9/30/2024,Developed in-house,,FALSE,,We are training a UNET 3+ model using 3-m resolution satellite data acquired from PlanetScope through an agreement with the US Army Corps of Engineers. We can also acquire this same data through an interdepartmental agreement between NASA and DOI.,,FALSE,,None of the Above,FALSE,,,,,,,,,,,,,,,,,,,,
DOI-0091,Diploid Detector/Triploid Tracker for Grass Carp,USGS,caio@doi.gov,a) No,Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Computer Vision,"There are expected benefits from the ability to determine whether Grass Carp can reproduce (diploid, with two sets of chromosomes) and thus take over and damage an ecosystem, or whether the captured Grass Carp have three sets of chromosomes (triploid) and were hatchery produced and will not reproduce: (1) the fish can be eliminated immediately (2) law enforcement can address illegalities per state per the Lacey Act (3) the ecosystem will be maintained and protected from reproductive Grass Carp.","science for development, evaluation, and refinement of technologies for preventing the spread of Grass Carp to uninvaded waters, and for reducing populations where where they are present or established.  ",The output is the prediction that an individual Grass Carp is triploid or diploid.  The final product should be able to be used with additional fish species.,,,,FALSE,,,,FALSE,na,None of the Above,FALSE,YOLO. https://www.opencv.ai/blog/yolo-unraveled-a-clear-guide,,,,,,,,,,,,,,,,,,,
DOI-0092,Frog vocalization recognition from digital recordings,USGS,caio@doi.gov,a) No,Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,Automated audio recorders make it easy to gather large amounts of digital audio recordings where frogs may be vocalizing. These recordings are too numerous to make it cost effective to listen to all of them. AI helps us search the recordings for calls of specific species to determine if they were there without us listening to thousands of hours of recordings.,"We are using this method to screen for Cuban treefrogs, which are in invasive species in the southern U.S. This will allow us to increase our early detection and rapid response to detections at sites that were not previously known to have the species.",AI outputs a list of vocalizations that it identifies as possibly the frog of interest.,11/4/2024,Developed in-house,,FALSE,,example recordings of frog vocalizations,,FALSE,,None of the Above,FALSE,,,,,Yes – by another appropriate agency office or reviewer not directly involved in the AI’s development,"Yes, sufficient monitoring protocols have been established","Yes, sufficient and periodic training has been established",Not applicable,Establishment of an appropriate appeal process is in-progress,,,,,,,,,,,
DOI-0090,Patterns in the Landscape – Analyses of Cause and Effect,USGS,caio@doi.gov,a) No,Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,ML satellite image classification is being used to better map flooding and fire events/characteristics for more effect hazard management.,High quality mapping of disasters allows us to better understand the causes and effects.,Classified maps are based on a prediction based on the characteristics of the input training information and the spatial data used to predict the presence of a feature,1/31/2023,Developed in-house,,FALSE,,We compare results with ground and remote sensing based reference data,https://www.usgs.gov/centers/western-geographic-science-center/science/patterns-landscape-analyses-cause-and-effect#data,FALSE,,None of the Above,FALSE,,,,,Yes – by another appropriate agency office or reviewer not directly involved in the AI’s development,"Yes, sufficient monitoring protocols have been established","Yes, sufficient and periodic training has been established",Not applicable,Establishment of an appropriate appeal process is in-progress,,,,,,,,,,,
DOI-0088,Reducing elevation error in coastal wetland digital elevation models,USGS,caio@doi.gov,a) No,Pilot – The use case has been deployed in a limited test or pilot capacity.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,The objective of this use case was to train/deploy a random forest regression model to reduce elevation error in a coastal wetland digital elevation model.,The model led to an enhanced digital elevation model for coastal wetland areas.,Prediction,10/4/2022,Developed in-house,,FALSE,,In situ elevation data was collected and used for the training and testing data development. The predictor variables used in the model included elevation data and satellite imagery.,https://doi.org/10.5066/P9AL9DEM,FALSE,,None of the Above,FALSE,,,,,Yes – by another appropriate agency office or reviewer not directly involved in the AI’s development,"Yes, sufficient monitoring protocols have been established","Yes, sufficient and periodic training has been established",Not applicable,Establishment of an appropriate appeal process is in-progress,,,,,,,,,,,
DOI-0087,Developing land cover maps for barrier islands using satellite imagery,USGS,caio@doi.gov,a) No,Pilot – The use case has been deployed in a limited test or pilot capacity.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,The objective of this ML/AL use case was to map land cover on barrier islands using satellite imagery. ,"Prediction of land cover types based on signatures from training data (i.e., pixels with class labels).","Prediction of land cover types based on signatures from training data (i.e., pixels with class labels).",7/19/2023,Developed in-house,,FALSE,,Satellite imagery was used for the mapping process. Photointerpetation and existing land cover maps were used for the training and testing dataset development.,https://www.sciencebase.gov/catalog/item/5a32ebe1e4b08e6a89d886b4,FALSE,,None of the Above,FALSE,,,,,Yes – by another appropriate agency office or reviewer not directly involved in the AI’s development,"Yes, sufficient monitoring protocols have been established","Yes, sufficient and periodic training has been established",Not applicable,Establishment of an appropriate appeal process is in-progress,,,,,,,,,,,
DOI-0085,Detecting and tracking reed canarygrass (Phalaris arundinacea) invasion in the Upper Mississippi River floodplain using remote sensing and artifial intelegence. ,USGS,caio@doi.gov,a) No,Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,We have a limited understanding of how the distribution of an invasive grass has changed over time. We seek to use satellite imagery to identify and track annual changes in the distribution of the invasive grass reed canarygrass.,"This will lead to a better understanding of the dynamics (e.g., changes in inundation) that drive changes in the distribution of the invasive grass reed canarygrass to help achieve management objectives.",Predictions of reed canarygrass invasion across the Upper Mississippi River system at an annual or subannual time step.,,,,FALSE,,,,FALSE,,None of the Above,FALSE,We will publish the code in ScienceBase upon completion of the project.,,,,Yes – by another appropriate agency office or reviewer not directly involved in the AI’s development,"Yes, sufficient monitoring protocols have been established","Yes, sufficient and periodic training has been established",Not applicable,Establishment of an appropriate appeal process is in-progress,,,,,,,,,,,
DOI-0082,Hydrologic predictions for the Upper Mississippi River System using a hybrid deep learning approach.,USGS,caio@doi.gov,a) No,Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,"Utilize historical datasets of air temperature, precipitation, discharge, and water surface elevation to train a deep learning model to predict discharge and water surface elevation across the Upper Mississippi River System.",This model will be useful for filling gaps in the hydrologic record and understanding how changes in temperature and precipitation influence hydrology across the system.,predictions of discharge and water surface elevation,,,,FALSE,,,,FALSE,,None of the Above,FALSE,Code will be published in ScienceBase upon the completion of the project.,,,,,,,,,,,,,,,,,,,
DOI-0084,Estimates of Habitat Suitability of Reed Canarygrass (Phalaris arundinacea) in Upper Mississippi River Floodplain Forest Understories,USGS,caio@doi.gov,a) No,Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,A better understanding of where in the Upper Mississippi River floodplain and invasive grass may occur.,This will help managers and researchers prioritize areas for restoration and further research.,Probability of habitat suitability for an invasive wetland grass called reed canarygrass.,10/31/2023,Developed in-house,,FALSE,,"We used a variety of remotely sensed and derived datasets developed by the USGS Lont-Term Resource Monitoring program at the Upper Midwest Environmental Sciences Center (landcover and inundation), and forest inventory data from the U.S. Army Corps of Engineers.",https://doi.org/10.5066/P9KBFBHW,FALSE,,None of the Above,FALSE,,,,,,,,,,,,,,,,,,,,
